username,sha_salt,password,strongness
user_weak_1,KaW3ZpZK,password,weak
user_weak_2,rIbod5OL,welcome,weak
user_weak_3,JtApfTrg,qwerty,weak
user_weak_4,fwnQ9BBA,413134,weak
user_weak_5,lGwMXTZn,letmein,weak
user_weak_6,PE9CbeDK,monkey,weak
user_weak_7,RT6IMx7T,dragon,weak
user_weak_8,UT4S6nFq,football,weak
user_weak_9,lxqwRejq,hello,weak
user_weak_10,xWDrxi45,secret,weak
user_medium_1,Dog9zNaF,Hello123!,medium
user_medium_2,KwCBTLqe,Summer202,medium
user_medium_3,o3pW7JRu,Coffee_9,medium
user_medium_4,63Knhe6G,Laptop77,medium
user_medium_5,BUL1l9wu,Window#5,medium
user_medium_6,t8TyBxPe,Garden88,medium
user_medium_7,WC1l616Z,Rocket11!,medium
user_medium_8,u4JLs0PK,BlueSky42,medium
user_medium_9,OUmN83VW,Orange_6,medium
user_medium_10,Hy8BoO64,River99!,medium
user_strong_1,UMeg2Cl6,A9$fQ2xL!,strong
user_strong_2,afPle87E,zR8@L#1P,strong
user_strong_3,EN4kQPjJ,M7!xK2@Q,strong
user_strong_4,SJINxmnZ,P@9XcL!4,strong
user_strong_5,cw85iAz1,8#Fq!ZL2,strong
user_strong_6,qNig9gyV,K!4Rz@9X,strong
user_strong_7,KnwzwFh4,7@QxL!F2,strong
user_strong_8,SUgsLmFt,L2@!X9Rq,strong
user_strong_9,SmmRF1Cb,Z!9x@Q4L,strong
user_strong_10,BRRTGIon,F@2L!9xQ,strong
